item_idx,assoc_item_idx,rank,support_count,confidence,lift
2214,4790,8,8,0.0988,31.86
2214,4398,9,3,0.037,30.22
2214,2499,10,3,0.037,30.22
668,1887,1,3,0.0366,36.25
668,20,2,5,0.061,35.25
668,5186,3,7,0.0854,28.2
668,107,4,6,0.0732,26.03
668,3297,5,3,0.0366,8.68
668,2401,6,4,0.0488,7.24
668,1348,7,5,0.061,4.73
5186,2776,1,4,0.0476,29.36
5186,668,2,7,0.0833,28.2
5186,107,3,5,0.0595,21.17
5186,3490,4,3,0.0357,17.7
5186,5434,5,3,0.0357,11.8
5186,2401,6,5,0.0595,8.83
5186,1573,7,3,0.0357,8.06
5186,1348,8,4,0.0476,3.69
148,1678,1,6,0.0526,52.15
148,7063,2,3,0.0263,40.56
148,2885,3,3,0.0263,22.82
148,3278,4,3,0.0263,13.04
148,7119,5,5,0.0439,11.81
148,3001,6,4,0.0351,8.69
148,5923,7,3,0.0263,8.39
148,6563,8,3,0.0263,8.2
148,4546,9,3,0.0263,6.95
148,1291,10,6,0.0526,6.03
4283,358,1,3,0.0098,34.11
4283,4744,2,5,0.0164,28.43
4283,2544,3,3,0.0098,22.74
4283,2837,4,3,0.0098,13.65
4283,654,5,5,0.0164,12.29
4283,4976,6,3,0.0098,8.8
4283,2255,7,3,0.0098,7.8
4283,222,8,11,0.0361,7.41
4283,6950,9,3,0.0098,7.18
4283,4582,10,18,0.059,7.06
374,1124,1,3,0.0682,21.26
374,2401,2,4,0.0909,13.49
1124,4028,1,6,0.0674,35.29
1124,1573,2,13,0.1461,32.95
1124,374,3,3,0.0337,21.26
1124,4471,4,3,0.0337,20.78
1124,6283,5,3,0.0337,20.78
1124,6709,6,4,0.0449,14.85
1124,4008,7,3,0.0337,8.66
2303,2608,1,17,0.3953,179.83
2303,719,2,5,0.1163,161.31
2303,995,3,4,0.093,129.05
2303,5959,4,4,0.093,112.22
2303,1590,5,6,0.1395,90.04
2303,7204,6,3,0.0698,87.99
3782,1625,1,3,0.1071,26.31
3782,5774,2,3,0.1071,22.69
3782,4609,3,3,0.1071,8.52
59,4326,1,11,0.55,1090.02
